fname                                                        ,attribute      ,area     ,direction ,floor_height ,i_don_t_know_what_it_is ,construction_time ,community                    ,wherehome                                                                                ,is_it_close_to_the_subway ,homo   ,intermediary ,price  ,unitprice
南北通中间花园位置，前后无遮挡，得天独厚，固定车位，看房有钥 ,2 室 2 厅 1 卫 ,73.69㎡  ,南北      ,中层(共11层) ,                        ,2006年建造        ,永泰花苑                     ,浦东三林永泰路630弄                                                                      ,繁华地段交通便利配套成熟  ,潘永建 ,太平洋房屋   , 495   ,67174元/㎡
聚焦！！！金色杉林 电梯高区商品两房 中心位置 看房随时        ,2 室 2 厅 1 卫 ,84.83㎡  ,南北      ,中层(共18层) ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区素质住户环境优美  ,陆宇辉 ,太平洋房屋   , 568   ,66958元/㎡
南北通透 装修好 满五   中间楼层采光好 电梯房 刚需两居        ,2 室 2 厅 1 卫 ,83.48㎡  ,南北      ,中层(共18层) ,                        ,2008年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,近地铁配套成熟品质小区    ,陈晨   ,太平洋房屋   , 599   ,71754元/㎡
精装修，送家电家具，着急置换，近地铁口，满五  ，带车位       ,2 室 2 厅 1 卫 ,71.18㎡  ,南北      ,高层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区环境优美配套成熟  ,于鹏程 ,太平洋房屋   , 465   ,65328元/㎡
近地铁 精美复式 老房东挂牌 拎包入住 订金交房 价格美丽        ,2 室 3 厅 2 卫 ,73.39㎡  ,南北      ,高层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,繁华地段环境优美近地铁    ,孙卫东 ,太平洋房屋   , 485   ,66086元/㎡
三林 近地铁 带电梯 精装好房 正规商品房 满五   板楼           ,2 室 1 厅 1 卫 ,62.13㎡  ,南        ,低层(共18层) ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,环境优美繁华地段交通便利  ,黄健   ,太平洋房屋   , 390   ,62772元/㎡
业主付税，双地铁，只求一卖，空间巨大，看中可谈，结果超乎想象 ,2 室 1 厅 1 卫 ,69.84㎡  ,南北      ,低层(共6层)  ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区配套成熟环境优美  ,张林涛 ,太平洋房屋   , 420   ,60138元/㎡
电梯（观景房）！！(豪装送了)(税费包了)！！小区中心，速抢     ,2 室 2 厅 1 卫 ,83.39㎡  ,南北      ,高层(共17层) ,                        ,2008年建造        ,永泰花苑                     ,浦东三林永泰路630弄                                                                      ,品质小区繁华地段环境优美  ,张振豪 ,太平洋房屋   , 450   ,53964元/㎡
南北通透 97平 满五  住房 采光好 周边商圈成                   ,3 室 1 厅 1 卫 ,97㎡     ,南北      ,高层(共14层) ,                        ,2013年建造        ,三林新村(永泰路133弄)        ,浦东三林永泰路133弄                                                                      ,                          ,王焕然 ,辰驿地产     , 595   ,61341元/㎡
金桂苑 南北通透 满五  住房 3室2厅 房东急置换                 ,3 室 2 厅 1 卫 ,77.05㎡  ,南北      ,低层(共6层)  ,                        ,2000年建造        ,金桂苑(浦东)                 ,浦东三林环林西路618弄                                                                    ,品质小区配套成熟环境优美  ,余志恒 ,中呈地产     , 465   ,60351元/㎡
近地铁 满五   精装修 朝南 交通便捷 有电梯 诚心出售           ,2 室 2 厅 1 卫 ,84.14㎡  ,南        ,低层(共18层) ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区近地铁素质住户    ,黄健   ,太平洋房屋   , 488   ,57999元/㎡
业主付税，双地铁，只求一卖，空间巨大，看中可谈，结果超乎想象 ,1 室 1 厅 1 卫 ,53.95㎡  ,南北      ,中层(共6层)  ,                        ,2004年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区配套成熟          ,张林涛 ,太平洋房屋   , 355   ,65802元/㎡
抄底之捡大漏系列（带车位送花园）房东包税，300米有大商超      ,2 室 1 厅 1 卫 ,72.86㎡  ,南北      ,低层(共11层) ,                        ,2008年建造        ,永泰花苑                     ,浦东三林永泰路630弄                                                                      ,繁华地段景观房送车位      ,邓力源 ,太平洋房屋   , 437   ,59979元/㎡
主营商圈 本人实勘 拒绝虚假 房东是我老客户 价格我能  惠       ,3 室 2 厅 1 卫 ,89.79㎡  ,南        ,中层(共18层) ,                        ,2011年建造        ,保利林语溪(公寓住宅)         ,浦东三林秀沿西路68弄                                                                     ,次新小区品质小区环境优美  ,陈小艳 ,德到地产     , 550   ,61255元/㎡
田林十村 南北通透 临地铁 板楼 医疗配套成熟 有电梯钥匙房      ,3 室 1 厅 1 卫 ,87.01㎡  ,南北      ,高层(共6层)  ,                        ,1993年建造        ,田林十村                     ,徐汇田林宜山路691弄                                                                      ,繁华地段配套成熟近地铁    ,林家鑫 ,太平洋房屋   , 535   ,61488元/㎡
笋盘 电梯协议已签 急售 价格可谈 满五税少 看房随时            ,2 室 2 厅 1 卫 ,70.02㎡  ,南北      ,中层(共6层)  ,                        ,2012年建造        ,三林苑                       ,"浦东三林三林路1466弄1-106号,永泰路1129弄1-95号"                                         ,品质小区环境优美近地铁    ,尹旭东 ,柚邻地产     , 425   ,60697元/㎡
急降80W 打新急售，徐汇高端豪宅，南北通双南两房，带产权车     ,2 室 2 厅 1 卫 ,95.5㎡   ,南北      ,中层(共8层)  ,                        ,2002年建造        ,徐家汇花园                   ,徐汇徐家汇宛平南路255弄1-35号                                                            ,品质小区繁华地段配套成熟  ,白金龙 ,易居房友     , 755   ,79058元/㎡
笋盘丶有钥匙丶随时看丶南北通透丶一梯两户丶带飘窗             ,2 室 2 厅 1 卫 ,88.61㎡  ,南北      ,低层(共6层)  ,                        ,2003年建造        ,上泰雅苑                     ,浦东金桥利津路215弄1-38号                                                                ,品质小区交通便利近地铁    ,顾俊   ,我爱我家     , 560   ,63199元/㎡
二梯 市南，幼小初一条龙，611双地铁，三大商业区，已买急售     ,3 室 1 厅 1 卫 ,85.11㎡  ,南北      ,低层(共18层) ,                        ,2006年建造        ,金橘新苑(北区)               ,浦东三林尚博路799弄                                                                      ,环境优美配套成熟次新小区  ,王彬   ,太平洋房屋   , 500   ,58748元/㎡
省钱买房太辛苦，买房省钱才靠谱！有产权车位！业主急售置换！   ,2 室 2 厅 1 卫 ,71.1㎡   ,南北      ,中层(共14层) ,                        ,2009年建造        ,三林新村(468弄)              ,浦东三林永泰路468弄                                                                      ,繁华地段交通便利配套成熟  ,郭云铭 ,辰驿地产     , 470   ,66105元/㎡
三林 紧邻地铁 万科品质 洋房 紧凑型3房 刚需 板式南北通        ,3 室 2 厅 1 卫 ,89.29㎡  ,南北      ,低层(共10层) ,                        ,2008年建造        ,万科金色雅筑                 ,浦东三林三林路1300弄1-63号                                                               ,                          ,赵欣雨 ,太平洋房屋   , 700   ,78397元/㎡
近医院 中间好楼层 近地铁 产权清晰 居住密度低 南北通透        ,2 室 2 厅 1 卫 ,89㎡     ,南北      ,中层(共6层)  ,                        ,2003年建造        ,汇佳苑                       ,浦东金桥利津路51弄                                                                       ,品质小区安全性高环境优美  ,罗朋   ,太平洋房屋   , 580   ,65169元/㎡
（一站前滩）（带车位）税费少，接受8个月首付，南北板式户型    ,2 室 1 厅 1 卫 ,60.16㎡  ,南北      ,中层(共6层)  ,                        ,1998年建造        ,金光小区                     ,"浦东三林上南路4265弄,上南路4271弄"                                                      ,配套成熟近地铁交通便利    ,侯龙飞 ,太平洋房屋   , 368   ,61171元/㎡
小区低楼层，两房朝南，外带超大的阳台，可拎包入住，近9号地铁  ,2 室 2 厅 1 卫 ,83.25㎡  ,南北      ,低层(共11层) ,                        ,2004年建造        ,金桥名都                     ,浦东金桥台儿庄路666弄1-40号                                                              ,                          ,刘海清 ,太平洋房屋   , 560   ,67268元/㎡
新出金桥名都 满五中心花园位置 带产权车位 接受置换 9号线      ,2 室 2 厅 1 卫 ,86.13㎡  ,南北      ,低层(共11层) ,                        ,2005年建造        ,金桥名都                     ,浦东金桥台儿庄路666弄1-40号                                                              ,品质小区配套成熟近地铁    ,许官辉 ,太平洋房屋   , 560   ,65018元/㎡
新上！中心花园位置 低于市场50万 看房有钥匙，热销地铁笋盘     ,2 室 2 厅 1 卫 ,70.47㎡  ,南北      ,中层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,近地铁环境优美小区中心    ,徐周宏 ,柚邻地产     , 420   ,59600元/㎡
3年精装两房，家电全留，房东诚意出售，停车位直接转移，价可聊  ,2 室 2 厅 1 卫 ,71.18㎡  ,南北      ,高层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,次新小区环境优美配套成熟  ,蒋莉   ,太平洋房屋   , 420   ,59006元/㎡
小区中心位置 新上 近地铁 交通便利 采光好 周边配套齐全        ,2 室 2 厅 1 卫 ,87㎡     ,南        ,中层(共6层)  ,                        ,2002年建造        ,证大家园(一期)               ,浦东金桥巨峰路667弄                                                                      ,近地铁环境优美配套成熟    ,翁林龙 ,太平洋房屋   , 580   ,66667元/㎡
房东诚心出售随时看房房东拎包入住中心位置                     ,2 室 2 厅 1 卫 ,78.11㎡  ,南北      ,高层(共6层)  ,                        ,2001年建造        ,金泽苑                       ,浦东金桥荷泽路825弄                                                                      ,品质小区素质住户近地铁    ,刘颖   ,太平洋房屋   , 470   ,60172元/㎡
十年出一套板式南北通赠私家露台60平）附带产权车位，来电即看   ,2 室 2 厅 1 卫 ,93㎡     ,南北      ,共5层        ,                        ,2006年建造        ,万科假日风景(春申万科城一期) ,闵行春申畹町路99弄                                                                       ,品质小区南北通透小区中心  ,胡露   ,太平洋房屋   , 585   ,62904元/㎡
双轨地铁 精装修 03年商品房 嘉里城在建 业主已买急售           ,2 室 1 厅 1 卫 ,71.24㎡  ,南北      ,中层(共6层)  ,                        ,2003年建造        ,东陆新村五街坊               ,浦东金桥利津路1111弄                                                                     ,                          ,程星星 ,太平洋房屋   , 438.9 ,61608元/㎡
双澧溪 双南户型采光好景观楼层业主置换价格你懂                ,2 室 2 厅 1 卫 ,90.43㎡  ,南        ,高层(共16层) ,                        ,2014年建造        ,明天华城                     ,"浦东周浦康沈路2262弄,周星路500弄"                                                       ,交通便利次新小区近地铁    ,唐修宝 ,中原地产     , 580   ,64139元/㎡
房东出国急用钱 低于市场行情 南北通透 采光好 带产权车位       ,2 室 2 厅 1 卫 ,92.01㎡  ,南北      ,中层(共6层)  ,                        ,2008年建造        ,万科假日风景(春申万科城一期) ,闵行春申畹町路99弄                                                                       ,繁华地段安全性高素质住户  ,杨浩   ,太平洋房屋   , 598   ,64993元/㎡
东荷小区 精装修 南北通透  看房方便 进地铁，靠文峰            ,3 室 1 厅 1 卫 ,86.3㎡   ,南北      ,高层(共6层)  ,                        ,1996年建造        ,东荷小区                     ,浦东金桥东陆路1018弄                                                                     ,                          ,韩恒恒 ,宏辉房产     , 408   ,47277元/㎡
诚意房东，    ，接受客户置换，满五税少，付款好价格可聊，     ,2 室 1 厅 1 卫 ,71.18㎡  ,南北      ,中层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,次新小区环境优美配套成熟  ,蒋莉   ,太平洋房屋   , 399   ,56056元/㎡
必看好房！ 精装高区电梯房 房东诚意出售 全明户型 采光极好     ,2 室 1 厅 1 卫 ,77.12㎡  ,南北      ,高层(共30层) ,                        ,1996年建造        ,钦州花苑                     ,徐汇田林钦州路840-920号                                                                  ,配套成熟全南户型拎包入住  ,李瑞欣 ,太平洋房屋   , 470   ,60944元/㎡
9号线地铁口 纯商品房小区，南北通透 位置安静 接受置换         ,3 室 2 厅 1 卫 ,86.5㎡   ,南北      ,高层(共6层)  ,                        ,2000年建造        ,万兆家园                     ,闵行七宝七莘路2855弄                                                                     ,交通便利南北通透一梯两户  ,刘娟   ,太平洋房屋   , 545   ,63006元/㎡
浦东新区金桥银桥花苑                                         ,2 室 1 厅 1 卫 ,71.81㎡  ,南        ,中层(共7层)  ,                        ,1999年建造        ,银桥花苑                     ,浦东金桥长岛路800弄                                                                      ,                          ,曾惠霞 ,我爱我家     , 499   ,69489元/㎡
有电梯 大两居 高楼层视野无遮挡 低容积 南北通透 诚心出售      ,2 室 1 厅 1 卫 ,70.89㎡  ,南北      ,高层(共14层) ,                        ,2000年建造        ,三林新村(永泰路133弄)        ,浦东三林永泰路133弄                                                                      ,                          ,张明明 ,德到地产     , 445   ,62774元/㎡
毗邻美罗城 ！  价变笋盘！房东诚意十足！ 出价就卖！           ,2 室 1 厅 1 卫 ,65.29㎡  ,南北      ,中层(共18层) ,                        ,1991年建造        ,南天大楼                     ,徐汇徐家汇天钥桥路191弄1-4号                                                             ,繁华地段安全性高配套成熟  ,李萍   ,易居房友     , 451   ,69077元/㎡
电梯洋房！位置安静！附带车位！南北通透！紧邻地铁！前滩腹地！ ,2 室 2 厅 1 卫 ,98.91㎡  ,南北      ,高层(共6层)  ,                        ,2005年建造        ,源城锦苑                     ,浦东三林灵岩南路769弄                                                                    ,品质小区小区中心送车位    ,赵孔维 ,太平洋房屋   , 688   ,69559元/㎡
拒绝虚假，专注本商圈，找我价格还能谈，找诚意能下手的客户     ,3 室 2 厅 1 卫 ,97.97㎡  ,南北      ,低层(共11层) ,                        ,2015年建造        ,万科金色雅筑                 ,浦东三林三林路1300弄1-63号                                                               ,繁华地段配套成熟交通便利  ,周成明 ,德到地产     , 800   ,81658元/㎡
三林明星电梯小洋房商品房近地铁500米精装不靠路 满五           ,3 室 2 厅 1 卫 ,89.29㎡  ,南北      ,低层(共10层) ,                        ,2008年建造        ,万科金色雅筑                 ,浦东三林三林路1300弄1-63号                                                               ,                          ,陈伟   ,我爱我家     , 780   ,87356元/㎡
卖房还乡，接受置换，送30万精装修，南北通透厨卫全明           ,2 室 1 厅 1 卫 ,48.58㎡  ,南北      ,高层(共6层)  ,                        ,1987年建造        ,田林十二村                   ,徐汇田林钦州路582号                                                                      ,配套成熟素质住户繁华地段  ,沈欣欣 ,太平洋房屋   , 320.5 ,65974元/㎡
天然氧吧，低价房源，双轨地铁，精装修南北通透，带停车位       ,3 室 2 厅 1 卫 ,88.31㎡  ,南北      ,中层(共6层)  ,                        ,2010年建造        ,湾流域城(一期)               ,"浦东三林尚博路485弄,尚博路569弄"                                                        ,送车位次新小区繁华地段    ,刘文博 ,太平洋房屋   , 785   ,88892元/㎡
一梯二户得房率高！6.13号东明路地铁口 二室二厅 全明户型       ,2 室 2 厅 1 卫 ,78.5㎡   ,南北      ,中层(共6层)  ,                        ,1999年建造        ,云莲苑                       ,"浦东世博云莲路415弄,云莲路405弄"                                                        ,环境优美配套成熟近地铁    ,张宏   ,太平洋房屋   , 485   ,61784元/㎡
楼梯顶楼复式 买一层附赠一层 带大楼台空中别墅                 ,3 室 3 厅 2 卫 ,87.56㎡  ,南北      ,高层(共6层)  ,                        ,2004年建造        ,都林嘉苑南园                 ,浦东三林杨南路1168弄                                                                     ,                          ,吴琛   ,太平洋房屋   , 728   ,83143元/㎡
玉兰小区 近地铁 出行方便 商圈成熟 商品房 南北通透 板楼       ,2 室 1 厅 1 卫 ,76.8㎡   ,南北      ,低层(共6层)  ,                        ,1997年建造        ,玉兰小区                     ,"浦东北蔡莲溪路550弄,莲中路337弄"                                                        ,交通便利配套成熟近地铁    ,姚雪华 ,我爱我家     , 466   ,60678元/㎡
豪华装修，中央空调带地暖，带车位，商场地铁环绕，楼层佳采光好 ,2 室 1 厅 1 卫 ,54㎡     ,南北      ,中层(共6层)  ,                        ,1990年建造        ,金恒小区                     ,浦东北蔡北艾路862弄1-54号                                                                ,繁华地段配套成熟近地铁    ,杨震   ,太平洋房屋   , 350   ,64815元/㎡
中内环电梯三房，真实在售，看房方便，地铁双轨交汇，近菜场     ,3 室 1 厅 1 卫 ,91㎡     ,南北      ,低层(共24层) ,                        ,1996年建造        ,云台二小区                   ,"浦东世博成山路601弄,昌里东路190弄"                                                      ,繁华地段交通便利配套成熟  ,邓茂林 ,中呈地产     , 498   ,54726元/㎡
徐家汇，中间楼层。双南电梯2房。精装修全明。满五年，有钥匙    ,2 室 1 厅 1 卫 ,51.17㎡  ,南北      ,中层(共6层)  ,                        ,1985年建造        ,零陵小区                     ,"徐汇徐家汇零陵路677弄,斜土路2590弄,零陵路639号-691号,斜土路2578-2588号(双号)"           ,繁华地段配套成熟送车位    ,朱光进 ,易居房友     , 408   ,79735元/㎡
本人实勘 地铁口 大三房 电梯高区 看房随时 我有钥匙 急售       ,3 室 1 厅 1 卫 ,93.66㎡  ,南        ,中层(共25层) ,                        ,1998年建造        ,上南大厦                     ,"浦东世博云台路111号,115号"                                                              ,繁华地段配套成熟近地铁    ,徐罗亮 ,德到地产     , 642   ,68546元/㎡
嘉善路地铁口，新上笋盘，婚房装修，拎包入住，价格可谈看房随时 ,2 室 1 厅 1 卫 ,70㎡     ,南北      ,中层(共14层) ,                        ,1997年建造        ,平江大楼                     ,徐汇徐家汇平江路25号                                                                     ,交通便利配套成熟近地铁    ,蔡桃城 ,易居房友     , 498   ,71143元/㎡
送两个花园 南北都有份  板楼 美丽家园 花园位置                ,2 室 1 厅 1 卫 ,53.69㎡  ,南北      ,共4层        ,                        ,1993年建造        ,康乐小区(徐汇)               ,"徐汇康健钦州南路381弄,钦州南路451弄,钦州南路531弄1-50号,桂林东街169弄"                  ,交通便利环境优美配套成熟  ,盛东   ,太平洋房屋   , 355   ,66121元/㎡
拒绝虚假，专注本商圈，找我价格还能谈，找诚意能下手的客户     ,3 室 2 厅 1 卫 ,89.52㎡  ,南北      ,低层(共18层) ,                        ,2017年建造        ,九龙仓兰廷                   ,浦东周浦祝家港路399弄                                                                    ,繁华地段配套成熟次新小区  ,周成明 ,德到地产     , 600   ,67025元/㎡
急售！急售！世博核心地段 三轨交汇 随时看房                   ,2 室 1 厅 1 卫 ,49㎡     ,南北      ,中层(共6层)  ,                        ,1995年建造        ,上南七村                     ,"浦东世博昌里路98弄,上南七村1-132号,昌里路100-110号(双)"                                 ,繁华地段配套成熟近地铁    ,肖飞龙 ,我爱我家     , 308   ,62858元/㎡
房东刚刚降价！东边套全明~税费各付！精装全送！带两个车位！    ,3 室 2 厅 1 卫 ,77.6㎡   ,南北      ,高层(共6层)  ,                        ,1999年建造        ,茶花园                       ,徐汇康健浦北路959弄31-82号                                                               ,环境优美配套成熟素质住户  ,任江涛 ,恩帆地产     , 558   ,71908元/㎡
送充电桩车位！房子满五！金色商品房！面积大！商品房周边配套好 ,2 室 2 厅 1 卫 ,83.48㎡  ,南北      ,中层(共18层) ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,品质小区环境优美配套成熟  ,李竹琴 ,太平洋房屋   , 586   ,70197元/㎡
业主降价急售！板式南北通两房 小区  公园位置  价格可谈        ,2 室 2 厅 1 卫 ,70.47㎡  ,南北      ,中层(共6层)  ,                        ,2006年建造        ,杉林新月家园                 ,"浦东三林环林东路799,875,879弄"                                                          ,配套成熟品质小区环境优美  ,蹇文东 ,柚邻地产     , 428   ,60736元/㎡
